Message,Label,Disease
"growth retardation of diseased shrimp, rostrum, the deformation of the 6th abdominal segment and tail fan, the wrinkled antennal flagella, and the cuticular roughness",4,IHHNV
runt deformity syndrome,4,IHHNV
"deformed rostrums, wrinkled antennal flagella, cuticular roughness and cuticular abnormalities of the sixth abdominal segment and tail fan",4,IHHNV
"pronounced stunting and deformation in specific body regions, especially the rostrum",4,IHHNV
noticeable discoloration along with abnormal growth patterns in the shrimp's body,4,IHHNV
"extensive white, pale appearance of the skin coupled with bacterial or fungal overgrowth",4,IHHNV
"necrotic manifestations evident in cuticles, nerves, and antennae",4,IHHNV
"hemorrhaging observed across muscles, eyes, skin, and meninges",4,IHHNV
"internal organ necrosis, particularly affecting the kidney and liver",4,IHHNV
exophthalmia (bulging eyes) and lethargy observed in affected shrimps,4,IHHNV
darkened skin appearance alongside decreased food consumption,4,IHHNV
instances of cannibalistic behavior within affected shrimp populations,4,IHHNV
"recurrent floating, rolling, and sinking behavior near the water surface",4,IHHNV
high morbidity and mortality rates observed within infected groups,4,IHHNV
"poor hatching success and survival rates for eggs, larvae, and postlarvae",4,IHHNV
abnormal opacity observed in abdominal musculature,4,IHHNV
development of white to buff lesions beneath the carapace,4,IHHNV
moribund prawns exhibiting a distinct blue appearance,4,IHHNV
presence of runt deformity syndrome within affected shrimp populations,4,IHHNV
manifestation of cuticular roughness and deformities,4,IHHNV
irregular growth patterns and epidermal malformations observed,4,IHHNV
prawns displaying slow mortality and abnormal physical defects,4,IHHNV
impaired growth alongside notable cuticle deformities,4,IHHNV
increasing morbidity and mortality rates over time,4,IHHNV
"abnormal swimming behavior, leading to sinking and ingestion by healthy shrimps",4,IHHNV
"growth retardation in affected shrimp, particularly evident in various body parts",4,IHHNV
"deformities in rostrums, antennal flagella, and abdominal segments",4,IHHNV
wrinkled antennal flagella and rough cuticles in affected individuals,4,IHHNV
runt deformity syndrome affecting multiple body segments,4,IHHNV
pronounced deformities in the sixth abdominal segment and tail fan,4,IHHNV
observable cuticular abnormalities alongside roughness,4,IHHNV
"slow growth, small size, and abnormal physical traits in affected individuals",4,IHHNV
